title,media,date,desc,content,keyword,global_keywords
수익성 높은 150+ 드랍쉬핑 아이템(2025),Shopify,2개월 전,검색 수요를 기반으로 선정한 2025년 드랍쉬핑 아이템을 자세히 살펴보세요.,,"드랍쉬핑, 아이템","아이템:0.008, 드랍쉬핑:0.005"
"'라이팅힙' 열풍에…29CM, 문구·사무용품 거래액 75%↑",데일리안 미디어,5개월 전,29CM는 읽는 것을 넘어 손글씨를 쓰는 '라이팅힙' 트렌드가 확산되면서 지난 1월1일부터 2월12일까지 문구·사무용품 거래액이 전년 대비 75% 증가...,"라이팅힙 관련 브랜드 룩북 (왼쪽부터) 오이뮤, 포인트오브뷰.ⓒ29CM

29CM는 읽는 것을 넘어 손글씨를 쓰는 ‘라이팅힙’ 트렌드가 확산되면서 지난 1월1일부터 2월12일까지 문구·사무용품 거래액이 전년 대비 75% 증가했다고 17일 밝혔다.





라이팅힙은 글쓰기(Writing)와 멋지다(hip)을 결합한 단어다. 지난해부터 이어진 ‘텍스트힙’ 트렌드로 필사나 일기 등을 직접 쓰고 공유하는 이들이 많아졌다.





또한 자극적인 숏폼이나 동영상 시청을 줄이려는 ‘디지털 디톡스’도 주목받으며 손글씨로 취향과 개성을 드러내는 젊은 층이 늘어나는 추세다.





카테고리별로 보면 고급 만년필, 볼펜, 연필 등 필기구는 2.4배 늘었고 다이어리·플래너는 64%, 노트류는 43% 이상 거래액이 증가했다. 툴박스, 북스탠드 등 책상을 꾸미는 데스크용품도 2배 증가했다.





프리미엄 필기구와 노트 브랜드부터 개성 있는 디자인 문구 브랜드까지 전반적으로 문구용품 매출이 크게 뛰었다.





국내·외 고가의 문구 아이템을 소개하는 브랜드 ‘포인트오브뷰’는 이 기간 29CM에서 거래액이 전년 대비 7.6배 넘게 증가했다.





해외 유명 연필을 선보이는 브랜드 ‘흑심’과 디자인 문구 브랜드 ‘오이뮤’는 거래액이 2배 이상 증가했다. 만년필용 노트로 유명한 일본 문구 브랜드 ‘미도리’의 거래액도 전년 동기 대비 75% 이상 늘었다.





라이팅힙 트렌드를 반영하듯 29CM가 개최하는 ‘인벤타리오: 2025문구 페어’ 얼리버드 티켓은 발매 3일 만에 전량 매진됐다.





문구 페어는 29CM가 오프라인에서 처음으로 개최하는 박람회로 오는 4월2일부터 6일까지 서울 삼성동 코엑스에서 열린다.





29CM는 이번 행사에서 문구 마니아들은 물론 라이팅힙 트렌드를 경험하고 싶은 이들을 위한 다양한 전시와 이벤트를 진행한다.





문구 크리에이터로 활동 중인 규림, 숭, 올리부가 포인트오브뷰, 오이뮤, 모스 등 인기 브랜드와 협업한 아이템을 문구 페어에서 공개하며 29CM앱에서 29리미티드 오더로 한정 수량 판매한다.





29CM 관계자는 “텍스트힙 열풍에 이어 필사하거나 일기를 쓰는 등 일상에서 손글씨로 기록하는 문화가 빠르게 확산되면서 29CM를 찾는 문구 수집가들이 늘고 있다”며 “4월2일부터 5일간 29CM와 포인트오브뷰가 준비한 문구 페어에서 텍스트를 읽고 쓰는 창작과 문구 취향을 공유하는 즐거움을 경험할 수 있길 바란다”고 말했다","손글씨, 브랜드, 텍스트, 필기구, 만년필","브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 브랜드:0.046"
[요즘 트렌드] 디지털 시대에 부는 ‘손글씨’ 열풍...다시 ‘쓰는’ 사람들,뉴시안,2개월 전,서울 강남구 코엑스에서 열린 제36회 서울국제문구 사무용품종합전시회에 나무로 디자인된 필기구가 전시돼 있다. [사진=뉴시스DB].,"서울 강남구 코엑스에서 열린 제36회 서울국제문구 사무용품종합전시회에 나무로 디자인된 필기구가 전시돼 있다. [사진=뉴시스DB]

［뉴시안= 이태영 기자］‘손글씨’가 디지털 사회에서 ‘감성적’ 가치를 지닌 취미생활로 여겨지면서, 이를 힙하게 즐기는 ‘라이팅 힙’ 트렌드가 부상하고 있는 것으로 조사되었다. 나아가 손글씨를 잘 쓰고자 하는 니즈가 문구류에 대한 관심으로 이어지고 있는 모습까지 살펴볼 수 있엇다.

라이팅 힙은 '쓰기(Writing)'와 '힙(hip)'의 합성어로, 손글씨 쓰기나 필사(筆寫)를 힙한 문화로 즐기는 현상을 뜻한다. 이는 독서를 멋지게 여기는 '텍스트힙(Text Hip)' 열풍에 이은 흐름으로 풀이된다.

23일 시장조사전문기업 엠브레인 트렌드모니터가 전국 만 13~69세 남녀 1200명을 대상으로 ‘문구류 및 손글씨 관련 인식 조사’를 실시한 결과, 응답자의 대다수가 손글씨를 잘 쓰는 것을 하나의 능력(83.4%, 동의율)으로 받아들일 정도로, 손글씨가 일종의 재능으로 여겨지고 있는 모습을 나타냈다. 아울러 손글씨를 잘 쓰는 사람에게 매력을 느끼는 경우(76.8%, 동의율)가 많고, 이들을 부러워하는 경향(77.1%)이 강하게 나타나는 등 손글씨를 잘 쓰는 사람을 선망하는 태도 역시 뚜렷했다. 이 때문인지 평소 손글씨를 잘 쓰는 것에 대한 로망(66.2%, 동의율)이 많은 모습을 보였고, 손 글씨를 잘 쓰고 싶다는 응답이 무려 82.8%에 달했다.

[그래픽=트렌드모니터]

필사(筆寫), 캘리그라피 등 손글씨에 대한 전반적인 관심도는 43.8%로 보통 수준이었고, 여성(남성 35.0%, 여성 52.7%) 및 고연령층을 중심으로 관심도가 높게 평가됐다(10대 38.5%, 20대 33.0%, 30대 43.5%, 40대 47.5%, 50대 48.5%, 60대 52.0%). 최근 1년 이내에 손글씨를 직접 써 본 경험이 있는 응답자 비율은 36.6%로 다소 낮은 편이었지만, 기록 행위가 아닌 심리적 안정을 위한 수단으로 손글씨를 활용한 경우가 많다는 점이 주목된다. 손글씨를 쓰게 된 이유로 좋아하는 책/문장 등을 직접 써보고 싶었고(35.5%, 중복응답), 마음의 안정을 주는 취미이기 때문(31.0%)이란 응답이 많았던 것으로, 아날로그한 감성 자체가 좋아서(29.6%)란 이유가 그 뒤를 이었다. 손글씨는 바쁜 일상에서 여유를 가질 수 있는 시간을 마련해주는 것 같다(72.5%, 동의율)는 인식이 높게 평가, 손글씨가 디지털화된 일상 속에서 마음을 진정시키고, 정서적 안정감을 제공하는 루틴으로 여겨지고 있는 것으로 풀이된다.

또한 ‘손글씨’는 디지털 사회에서 여전히 감성적인 가치를 지닌 행위(79.7%, 동의율)로 평가되고 있었다.

[그래픽=트렌드모니터]

실제로 전체 응답자의 상당수가 손글씨로 작성된 콘텐츠를 디지털 타이포그래피보다 더 감성적으로 느끼는 경향(73.0%, 동의율)을 보였으며, 디지털 시대에 굳이 ‘손글씨’를 쓸 필요가 있을까 싶다는 응답은 15.5%에 그친 것으로 나타났다. 기회가 된다면 손글씨를 직접 써보고 싶다(62.1%)는 응답이 다수를 차지할 정도로, 아날로그한 감성을 선호하는 경우가 많은 모습도 보였다. 나아가 최근에는 ‘손글씨’를 쓰는 것이 힙한 트렌드가 되고 있는 것 같다(45.6%, 동의율)는 인식이 적지 않고, 단순한 기록 수단이 아닌 하나의 ‘힙한 문화’(55.8%)라는 응답이 과반으로 평가되는 등 ‘라이팅 힙(Writing Hip)’ 트렌드가 대두되고 있는 흐름까지 나타났다. 텍스트힙을 넘어 라이팅 힙이 대세가 되는 것 같다(33.0%, 동의율)는 체감도는 다소 낮은 편이었지만, 손글씨가 아날로그적인 취미생활로 자리 잡을 것 같다(47.4%)는 기대감도 적지 않은 만큼, 디지털 피로를 해소하기 위한 방식으로 ‘라이팅 힙’ 트렌드가 보다 확산될 가능성도 높아 보인다.

손글씨에 대한 로망은 문구류에 대한 관심으로도 이어졌다.

우선, 펜, 다이어리, 스티커 등 평소 문구류에 대한 관심도는 42.5%로 보통 수준이었으며, 여성 및 자신의 손글씨 능력을 긍정적으로 평가한 응답자를 중심으로 문구류에 대한 호감도가 높게 나타났다. 문구류에 관심을 갖는 이유로는 글씨를 예쁘게, 잘 쓰고 싶어서(46.7%, 중복응답)라는 점을 최우선으로 꼽아, ‘글씨를 잘 쓰기 위한 도구’로서의 기능을 중시하고 있는 모습이다. 특히 저연령층의 경우 필기를 잘 하고 싶다(10대 43.2%, 20대 53.8%, 30대 59.8%, 40대 41.3%, 50대 42.5%, 60대 35.3%)는 니즈가 타 연령층 대비 높은 편이었고, 평소 필기구를 수집하는 것에 흥미를 느끼는 경향도 뚜렷한 편이었다(10대 37.9%, 20대 34.4%, 30대 38.0%, 40대 28.0%, 50대 23.0%, 60대 14.7%). 문구류가 필기 경험을 보다 즐겁고 만족스럽게 만들어주는 수단으로 여겨지고 있는 만큼, 단순한 ‘기록’의 도구를 넘어 자신의 취향을 드러내기 위한 목적으로 문구류를 소비하고 있는 것으로 풀이된다.

[그래픽=트렌드모니터]

전반적으로 대중소비자들은 자신이 특별히 선호하는 문구 브랜드나 제품을 찾아 구매(18.9%)하기보다는 필요한 것 위주로 구매(48.5%)하는 경우가 많았다. 단, 스스로의 손글씨 능력(잘 쓰는 편 28.0%, 평균 18.7%, 못 쓰는 편 14.3%)과 문구류에 대한 관심도(높은 편 32.2%, 보통/반반 11.2%, 낮은 편 6.6%)를 높게 평가한 응답자일수록 자신만의 취향에 맞는 문구를 선택하는 ‘마니아층’의 성향을 보인 점이 주목된다.

아울러 평소 학업, 업무 등에 좋은 ‘문구류’를 쓰고 싶은 마음이 있고(68.1%, 동의율), 내 취향에 맞는 ‘문구류’를 구매하고 싶다(64.5%)는 응답도 높은 수준으로, 자신만의 취향을 반영하는 문구에 대한 니즈가 높았다. 향후 비용을 들여 구매해보고 싶은 ‘문구류’로는 볼펜(44.8%, 중복응답)을 가장 우선적으로 꼽았고, 여성의 경우 다이어리(남성 23.5%, 여성 36.2%), 노트/수첩(남성 28.2%, 여성 31.2%), 남성은 만년필(남성 32.3%, 여성 17.0%), 샤프/샤프심(남성 29.3%, 여성 18.5%)에 대한 투자 의향도 높았다.","손글씨, 디지털, 그래픽, 모니터, 아날로그","브랜드:0.046, 디자인:0.043, 디자인:0.043, 소비자:0.026, 디지털:0.014"
한강 노벨상이 몰고온 ‘텍스트힙 열풍’,에너지경제신문,5개월 전,지난해 10월 한강 작가의 노벨문학상 수상으로 촉발된 `텍스트 힙(Text Hip) 열풍`이 갈수록 확산되고 있다. `텍스트 힙`은 활자를 뜻하는 `텍스트`와...,"노벨문학상 수상 이후 독서·필사·책꾸미기 등 ‘활자 유행’

10~20대 ‘개성 과시’ 선호로 문구류·사무용품 판매 급증

▲'텍스트 힙'의 열풍에 관련 제품이 인기를 얻고 있다. 오이뮤(왼쪽)와 포인트오브뷰.사진=29CM

지난해 10월 한강 작가의 노벨문학상 수상으로 촉발된 '텍스트 힙(Text Hip) 열풍'이 갈수록 확산되고 있다.

'텍스트 힙'은 활자를 뜻하는 '텍스트'와 개성 있고 멋지다는 의미의 '힙'이 합성된 신조어로, 서적이나 문구·사무용품 등 아날로그 감성이 묻어나는 소비재나 선호 행위를 뜻한다.

텍스트 힙에 대중의 관심도가 높아지면서, 트렌드도 다양한 형태로 진화하고 있다.

먼저 서점가에서 확인 가능하다. 17일 교보문고에 따르면, 지난달 베스트셀러 1위부터 3위까지 '소년이 온다', '채식주의자', '작별하지 않는다' 등 한강 작가의 책이 나란히 차지했다. 4위는 걸그룹 아이브 멤버 장원영이 최근 읽는 책으로 언급한 '초역 부처의 말'이 올랐다. 스타의 한마디에 독자들이 몰리며 단숨에 베스트셀러에 올랐다.

'텍스트 힙'은 단순히 독서하는 행위에 그치지 않는다. 직접 텍스트를 쓰는 움직임으로 확대됐다.

인공지능(AI)가 작문을 대신하는 시대에서 자신의 생각을 글씨로 남기려는 사람들이 급증하고 있다. 지난해 교보문고에서 필사책 판매는 전년 대비 692.8% 크게 늘어났다. 온라인·오프라인에서는 필사모임이 활발하게 꾸려지고 있을 정도이다.

또한, 10~20대 젊은 세대는 개성을 드러내는 수단으로 '텍스트 힙'을 소비하는 경향이 뚜렷하다. 텍스트 힙을 과시하기 위해 '장비발'을 동원하는 것이다.

17일 여성 플랫폼 29CM는 “1월1일부터 2월12일까지 문구·사무용품 거래액이 전년 대비 75% 증가했다""고 밝혔다. 대표적인 브랜드는 포인트오브뷰, 흑심, 오이뮤, 미도리다.

이밖에 자신의 스타일로 꾸미는 '책꾸'(책 꾸미기)는 '다꾸'(다이어리 꾸미기) 못지않게 환영을 받았다. 북커버, 책갈피, 라벨 스티커 등을 비롯해 '문학동네 시인선' 시리즈와 '위즈덤 하우스 단편소설 위픽' 시리즈 등 책 표지에 빈 공간이 많아 꾸미기 좋은 책이 많은 사랑을 받았다.

출판업계 한 관계자는 “한강 작가의 노벨문학상 수상으로 독서 열풍이 거세지면서 '텍스트 힙' 현상이 전방위로 나타났다""며 “책 꾸미기와 필사, 독서 굿즈 등을 통해 '텍스트 힙'이 새로운 문화로 정착하고 있다""고 말했다.","텍스트, 노벨문학상, 갈수록, 베스트셀러, 아이브","브랜드:0.046, 온라인:0.016, 다이어리:0.008, 오프라인:0.008, 텍스트:0.007"
다꾸·폰꾸 이은 직장인 ‘데꾸’ 유행...사무용품 브랜드 뜬다,쿠키뉴스,8개월 전,"책상 꾸미는 데스크테리어 유행…사무용품도 '예쁘게' ... 다꾸(다이어리 꾸미기), 신꾸(신발 꾸미기), 폰꾸(핸드폰 꾸미기)에 이어 '데꾸(책상 꾸미기)'가...","데스크테리어 연출컷. 모나미



다꾸(다이어리 꾸미기), 신꾸(신발 꾸미기), 폰꾸(핸드폰 꾸미기)에 이어 ‘데꾸(책상 꾸미기)’가 유행하고 있다.



최근 젊은 세대를 중심으로 개인의 취향을 반영한 물품이나 문구로 책상을 꾸미는 데스크테리어(데스크+인테리어) 트렌드가 꾸준히 인기를 얻고 있다.



27일 관련 업계 등에 따르면 에이블리는 지난해 대비 9월 15일부터 한 달간 에이블리 라이프관 내 문구 카테고리의 거래액은 전년 동기 대비 60% 증가했고, 주문수는 70%가량 증가했다. 뿐만 아니라 스티커를 비롯한 다꾸(다이어리 꾸미기) 제품들의 거래액도 전년 동기 대비 60% 성장한 것으로 나타났다.



2021년 잡코리아와 알바몬이 성인남녀 683명을 대상으로 설문 조사한 결과, 응답자 57.5%가 자신을 '데스크테리어족'이라고 밝히기도 했다.



직장인 박모(27·여)씨는 “사무실 책상에 좋아하는 캐릭터 피규어를 두기도 하고, 재밌게 본 영화에 나온 굿즈나 좋아하는 출판사에서 나온 달력을 가져다 놓기도 했다”며 “좋아하는 것들로 꾸며진 업무 공간을 보면 일할 때 스트레스 해소가 된다”고 설명했다.



이에 문구기업에서도 데스크테리어에 활용하기 좋은 브랜드 등을 내세우고 있다. 문구 기업 모나미는 지난 2월 디자인 사무용품 브랜드 ‘롭다(LOBDA)’를 론칭했다. 론칭 이후 가구브랜드 데스커(DESKER)와 협업도 진행하며 데스커 매장에서 롭다 제품을 활용한 홈오피스, 서재, 공부방 등 여러 공간을 꾸며 만들어 데스크테리어 용품 활용법을 선보이기도 했다.



기존 사무용품과는 색감이나 디자인에서 차이가 크다. 흔하지 않은 파스텔톤 컬러와 감각적인 디자인을 활용해 하나의 오브제처럼 보이도록 구성했다.



모나미 관계자는 “최근 오피스 데스크를 단순히 업무만 하는 곳이 아니라 하루 대부분의 시간을 보내는 자신만의 공간으로 여기며 개성 있게 꾸미기 원하는 소비자들이 늘어가고 있다”고 설명했다.



문구업계 관계자는 “자신의 영역을 취향에 맞게 꾸미는 행동이 하나의 문화로 자리잡았다”며 “특히 코로나19 기간동안 재택 근무를 하면서 본인의 취향에 맞는 사무공간을 가졌던 사람들이 회사로 돌아와서 데스크테리어에 관심을 갖게 된 경우가 많다”고 설명했다.



이어 “집에서 보내는 시간만큼을 회사 책상 앞에서 보내는 직장인들이 많기 때문에, 본인의 공간을 취향에 맞게 꾸미는 것으로 심리적 안정을 얻을 수 있다”고 덧붙였다.","데스크, 모나미, 다이어리, 핸드폰, 디자인","브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 디자인:0.043, 디자인:0.043"
MZ세대 '필사' 인기에...29CM 고급 문구류 거래액 75%↑,디지털투데이,5개월 전,[디지털투데이 손슬기 기자] 무신사 운영 온라인 셀렉트숍 29CM는 손글씨를 쓰는 '라이팅힙' 트렌드의 확산으로 올해 들어 문구·사무용품 거래액이...,"라이팅힙이 유행하고 있다 [사진: 무신사]

[디지털투데이 손슬기 기자] 무신사 운영 온라인 셀렉트숍 29CM는 손글씨를 쓰는 '라이팅힙' 트렌드의 확산으로 올해 들어 문구·사무용품 거래액이 전년 동기 대비 75% 증가했다고 17일 밝혔다.

회사에 따르면 최근 숏폼 등 자극적인 디지털 콘텐츠에 질린 젊은 세대들 사이에서 '텍스트힙', '디지털 디톡스' 등 아날로그적인 행동이 유행하고 있다. 손글씨를 멋지게 생각하는 라이팅힙 역시 해당 유행의 일환이다.

올해 1월 1일부터 2월 12일까지 29CM에서 고급 만년필, 볼펜, 연필 등 필기구 거래액은 전년 동기 대비 2.4배가 늘었다. 다이어리·플래너는 64%, 노트류는 43% 이상 거래액이 증가했다. 툴박스, 북스탠드 등 책상을 꾸미는 데스크용품도 거래액이 2배 증가했다.

해당 기간 프리미엄 문구 브랜드 매출도 크게 늘었다. 29CM에서 고급 문구 편집숍 '포인트 오브 뷰'는 전년 대비 거래액이 7.6배 넘게 증가했다. 해외 유명 연필을 선보이는 브랜드 '흑심'의 거래액은 2배가 늘었고 만년필용 노트로 유명한 일본 문구 브랜드 '미도리'는 75% 거래액 신장했다.

29CM가 준비한 문구 박람회인 '인벤타리오: 2025 문구 페어' 얼리버드 티켓도 발매 3일 만에 전량 매진됐다.

29CM 관계자는 ""텍스트힙 열풍에 이어 필사하거나 일기를 쓰는 등 일상에서 손글씨로 기록하는 문화가 빠르게 확산되면서 29CM를 찾는 문구 수집가들이 늘고 있다""고 말했다.","손글씨, 디지털, 손슬기, 투데이, 만년필","브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 온라인:0.016, 온라인:0.016"
"모나미, 사무용품 브랜드 ‘LOBDA(롭다)’ 론칭",비욘드포스트,7개월 전,문구기업 모나미는 컬러로 공간에 취향을 담아내는 '컬러 마케팅' 트렌드를 반영해 데스크테리어로 활용하기 좋은 사무용품 브랜드 LOBDA(롭다)를...,"컬러 마케팅 트렌드 반영한 감각적 데스크테리어 용품 선봬

화이트 헤이즈·소일 핑크·세이지 그린 등 자연의 감성 담은 컬러 5종 구성

[비욘드포스트 이순곤 기자] 문구기업 모나미는 컬러로 공간에 취향을 담아내는 '컬러 마케팅' 트렌드를 반영해 데스크테리어로 활용하기 좋은 사무용품 브랜드 LOBDA(롭다)를 새롭게 선보인다고 14일 밝혔다.LOBDA(롭다)는 '공간이 새롭다, 다채롭다, 조화롭다’라는 의미를 표현했으며, 모나미는 'Make your LOBDA'를 콘셉트로 컬러를 활용해 개개인의 공간이 더욱 다채로워질 수 있도록 이번 신규 브랜드를 기획했다.제품 컬러는 일상에 힐링을 선사하는 자연의 따뜻한 감성을 모티브로 삼았다. 동트기 전 안개를 머금은 화이트 헤이즈, 노을이 지는 하늘을 감싸는 듯한 소일 핑크, 자연의 치유력으로 지친 마음에 위로가 되는 세이지 그린을 비롯해 바이올렛 포그, 머드 그레이 등 총 5가지 컬러로 구성해 사용자들의 선택지를 넓혔다.제품은 △데스크 정리함 △논슬립 펜 홀더 △파일 정리함 △노트패드 △파일 박스 등이 있으며, 그 외에도 형광펜, 볼펜, 지우개, 풀 등 필수 사무용품도 준비돼 있어 LOBDA(롭다) 제품만으로 조화롭게 나만의 공간을 연출할 수 있다.모나미 관계자는 ""LOBDA(롭다)의 제품을 통해 누구나 각자의 취향을 담은 컬러로 공간을 연출할 수 있도록 기획했다""라며, ""LOBDA(롭다)로 조화롭고 가치 있는 자신만의 힐링공간을 만들어 일상 속 소소한 즐거움을 누리길 바란다""라고 말했다.sglee640@beyondpost.co.kr","모나미, 데스크, 헤이즈, 세이지, 화이트","브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 데스크:0.016, 데스크:0.016"
책상 앞 시간을 즐겁게! 감각적인 사무용품 브랜드 추천,오픈애즈,8개월 전,대다수의 직장인이 하루 중 가장 많은 시간을 보내는 곳은 사무실 책상 앞이다. 나인 투 식스(9 to 6) 근무를 기준으로 책상 앞에 앉아 있는 시간은...,"대다수의 직장인이 하루 중 가장 많은 시간을 보내는 곳은 사무실 책상 앞이다. 나인 투 식스(9 to 6) 근무를 기준으로 책상 앞에 앉아 있는 시간은 최소 8시간. 이처럼 오랜 시간을 보내는 공간에 나를 위한 요소를 더해 보면 어떨까.

매일 사용하는 사무용품에 내 취향을 반영한다면 책상 앞에 앉아있는 시간이 조금은 즐거워질지도 모른다. 감각적인 디자인은 물론 탁월한 기능으로 쓸 때마다 기분 좋아지는 사무용품 브랜드를 추천한다.





✏️ 헤밍웨이가 사용한 명품 연필 ‘블랙윙’

(사진=블랙윙)

가장 먼저 소개할 아이템은 연필이다. 현대인에게 익숙한 필기도구는 볼펜, 샤프겠지만 그보다 이전에 연필이 있었다. 연필의 매력에 한 번 빠지면 헤어 나오기 쉽지 않다. 흑심이 종이에 닿으면서 내는 사각사각 소리가 안정감을 주고, 심지가 닳은 연필을 공들여 깎다 보면 잡념이 사라진다.

다양한 연필 브랜드 가운데, 블랙윙은 연필 수집가들의 흥미를 자극하는 ‘명품’ 브랜드다. 트레이드 마크는 연필 뒤에 달린 납작한 지우개. 한 자루당 2천 원이 넘는 고급 연필답게 연필꽂이에 꽂아두면 남다른 존재감을 뽐낸다. 필기감도 훌륭하다. 부드러우면서도 진하게 글씨가 써지는 것이 블랙윙의 특징이다. 그래서인지 ‘절반의 힘으로 두 배 빨리 글씨를 쓴다’는 말이 있을 정도다.





📋레트로 감성의 문구 브랜드 ‘펜코’

(사진=펜코)

통통튀는 색감의 레트로 무드를 사랑한다면 눈여겨볼 브랜드는 펜코다. 80~90년대 미국 문구 제품에서 영감을 받아 탄생한 펜코는 아날로그 감성을 자극하는 디자인으로 세계적인 사랑을 받고 있다.

펜코의 다양한 제품 중 직장인에게 추천하는 제품은 클립보드다. 레스토랑의 주문서를 연상케 하는 디자인인데, 탄탄한 밑판에 금빛 클립을 부착해 메모지를 끼워 사용할 수 있다. A4부터 한 손에 쏙 들어오는 미니 버전까지 다양한 사이즈로 제작돼 용도에 맞게 선택하면 된다.

펜코의 클립보드와 리걸패드를 조합하면 훌륭한 메모장이 완성된다. 다이어리가 업무 일정과 히스토리를 상세하게 기록하는 용도라면, 클립보드는 통화 중이나 회의에서 나온 이야기를 가볍게 메모하기 좋다. 탄탄한 밑판 덕분에 언제 어디서든 또박또박 글씨를 쓸 수 있다.





📓기록 광인들이 선택한 노트 ‘컴포지션 스튜디오’

(사진=컴포지션 스튜디오)

문구 덕후들에게 요즘 가장 핫한 노트가 무엇이냐 묻는다면 100이면 100 ‘컴포지션 스튜디오’라는 답이 돌아올 것이다.

컴포지션 스튜디오 노트는 미국의 ‘국민 노트’로 불리며 품질과 심미성을 모두 인정받은 제품이다. 노트 외지는 얼룩, 아가일 등 반복적인 패턴과 다양한 색감으로 제작됐다. 책상 위 다양한 사무용품과 자연스레 어우러지면서도 시선이 가는 디자인이 특징이다.

노트의 품질을 결정짓는 제본과 내지의 수준도 상당한 편이다. 컴포지션 스튜디오의 모든 노트는 실 제본으로 제작되어 모든 장이 180도로 활짝 펼쳐진다. 때문에 노트의 처음부터 끝까지 편안하게 사용할 수 있다는 장점을 가졌다. 내지는 만년필을 사용해도 뒷장에 흔적이 비치지 않을 정도로 도톰하다.





👇샐러던트리포트와 '소비 트렌드' 파악하기 👇





🗺️ 비즈니스에서 ‘로컬’이 중요해지는 이유

⌛가성비 · 가심비 넘어 대세는 ‘시성비’, 돈보다 시간이 중요해

📊챗GPT 등 생성형 AI 이용하는 직장인, 1~3년 차 가장 많아","클립보드, 브랜드, 레트로, 디자인, 대다수","브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 브랜드:0.046, 브랜드:0.046"
"29CM, 고급 필기류·아날로그 다이어리 거래액 전년비 75%↑··· “필사하는 ‘라이팅힙’ 대세로 떠올라”",무신사 뉴스룸,5개월 전,감도 깊은 취향 셀렉트샵 29CM(이십구센티미터)에서 읽는 것을 넘어 손글씨를 쓰는 '라이팅힙' 트렌드가 확산되면서 지난 1월 1일부터 2월 12일까지...,,"센티미터, 손글씨","손글씨:0.011, 센티미터:0.003"
올해 오피스 트렌드는…패스트파이브 사무환경 기준 제시,한국경제,3주 전,"올해 오피스 트렌드는…패스트파이브 사무환경 기준 제시, 2025 사무 환경 트렌드 리포트 발표 10년간 2만6000개 기업 운영 데이터 기반.",,"패스트, 파이브","패스트:0.004, 파이브:0.004"
